character|line
rachel|no you’re not an idiot ross
rachel|you’re a guy very much in love
ross|same difference
ross|i get it
ross|well that’s that
rachel|no you know what i think you should go
ross|what
rachel|yeah i do
rachel|i think you should go by yourself get some distance clear your head i think it’d be really good
ross|oh i don’t i don’t i don’t know
rachel|oh come on ross
rachel|i think it would be really good for you
ross|i could yeah i can do that
rachel|yeah
ross|i can’t i can’t even believe her
ross|no y’know what i am i am gonna go
rachel|good
ross|i know why not
rachel|right
ross|right
rachel|right
ross|y’know thanks
rachel|okay i’ll see you back at home if i ever get a flight out of here
ross|yeah well nah
rachel|what
rachel|wait what
ross|why don’t you come i mean i i have two tickets why not
rachel|well well i don’t know ross really
ross|yeah yeah it’ll be great
ross|you can you can lay on the beach and i can cry over my failed marriage
ross|see see how i make jokes
rachel|uh huh
ross|no really i mean i mean god i could use a friend
rachel|oh wow uh okay uh maybe
rachel|umm yes i can do that
ross|okay
rachel|okay
ross|cool
rachel|all right
ross|come on
ross|here
rachel|oh okay we’re going
rachel|yeah
ross|ah
ross|ah
ross|i forgot my jacket
rachel|oh wait wait wait
ross|you tell them to wait
rachel|okay
rachel|wait
rachel|wait
ross|emily
ross|oh no no no
ross|oh no
ross|no
ross|no
ross|emily
rachel|ahh yes i will have a glass of the merlot and uh he will have a white wine spritzer
rachel|woo
rachel|hey look at that the airport’s moving
rachel|hey are we moving
rachel|are we moving
rachel|why are we moving
rachel|hey time out umm yeah does the captain know that we’re moving
rachel|oh my god
rachel|oh my gosh
monica|you look cute in bubbles
chandler|ehh you're just liquored up
joey|hey it's me
joey|i'm comin in
chandler|i've had a very long hard day
joey|ahh i'm gonna go get some chicken
joey|want some
chandler|ahh no thanks
chandler|no chicken bye bye then
joey|okay
joey|you sure
joey|some extra crispy
joey|dirty rice
joey|beans
chandler|for the last time no
chandler|get out
chandler|get out joey
joey|all right
chandler|are you okay
chandler|i'm so sorry he wouldn't leave
chandler|he kept asking me about chicken
monica|chicken
monica|i could eat some chicken
chandler|hey joe
chandler|yeah can i get a piece some cole slaw some beans and a coke yelps in
phoebe|hey
chandler|hey pheebs
joey|mornin pheebs
phoebe|i have to tell you this story
phoebe|okay i was coming over here and this driver
joey|was his name angus
phoebe|what
joey|oh he was this cab driver we had in london
phoebe|oh
phoebe|ha ha ha
phoebe|all right anyway
monica|wait what that place that pub he took us too
chandler|uh the wheat chief
joey|yeah yeah yeah and they had that beer
joey|that uh
monica|bodington's
chandler|ooh
chandler|ahh pheebs was gonna tell a story
phoebe|yeah so he had a really funny hat i don't want to talk about it
ross|hey
joey|hey ross bodington's
ross|yeah
joey|that was good beer
ross|ohh
joey|y'know i'd walk back to london for another frosty one of those bad boys
ross|y'know i think they have those at that british pub near the trade center
joey|later
ross|isn't rachel supposed to be back by now
monica|yeah but her plane got delayed in athens
monica|but actually she should be here by now
ross|oh so so you talked to her
ross|did she did she sound mad
monica|no but she likes me
monica|you abandoned her on a plane to greece
ross|okay i did not abandon rachel
ross|okay
ross|emily showed up at the airport
ross|i had to go after her
ross|i mean i i did what i had to do
ross|she's my wife
ross|rachel is my wife
ross|y'know emily
ross|emily is my wife
ross|man what is that
phoebe|so you still hadn't heard from emily
ross|no not since i lost her at the airport
chandler|i can't believe she can out run you man
ross|hey she's fast
ross|okay
ross|oh
ross|you you think you can be beat me
ross|let's go
ross|outside
rachel|hi
ross|rach rach i am so sorry
ross|i am so so sorry
rachel|oh ross come on
rachel|you just did what you had to do
ross|that's it
ross|you're not mad
ross|i mean it must've been terrible
rachel|terrible
rachel|hell i was in greece
rachel|that was a nice hotel
rachel|nice beach met the nice people
rachel|not to shabby for rachel
ross|so what
ross|that's it
rachel|well yeah
rachel|we're cool
rachel|totally cool
ross|oh thanks
ross|oh you're the best
rachel|oh no you're the best
ross|ohh i gotta go to the flower store
ross|check it out no one will tell me where emily is so i'm gonna send long stem red roses to emily's parent's house one for each day that i've known and loved her
ross|that oughta get her talking to me again
chandler|oh ross when you make out card be sure to make it out to em i ly
monica|rach that's great
monica|it's so good that you had a good time in greece
rachel|what
rachel|i didn't have a good time in greece
rachel|ross abandoned me
rachel|okay i couldn't get a plane out so i had to stay in their honeymoon suite with people coming up to me all the time going oh mrs
rachel|geller why are you crying
rachel|i mean it was sooo humiliating
rachel|i felt like such an idiot
rachel|i mean it's all my fault
rachel|and you know why because i make very bad decisions
chandler|oh that's not true
rachel|yes it is
rachel|it is true
rachel|i went i went after ross in stupid london
phoebe|london is stupid
phoebe|stupid
rachel|phoebe you were right
rachel|i should've never gone to london and from now on you make all of my decisions for me
phoebe|oh no i did that for someone once and i'm not comfortable having that kind of power and control over someone's life
monica|i'll do it
rachel|that's fine
rachel|so monica you are now in control of my love life
chandler|okay i gotta go to work
chandler|and uh rachel glad to have you back
chandler|pheebs
chandler|always a pleasure
monica|oh rachel sweetie look here's a really cute picture of joey and you at the reception
rachel|ohh he's married
rachel|ross is married
rachel|i can't i still can't believe it
monica|honey sweetie by the edges
rachel|i mean y'know i'm just gonna have to accept it
monica|ohh
rachel|i mean it's my fault
monica|sweetie
monica|edges
monica|fingers
monica|smudgey
monica|pictures
rachel|oh my god
monica|okay
monica|that's okay
monica|i i know that you're very upset right now
monica|i know i know that wasn't about me
joey|i bet it was about her a little
monica|if you would stop thinking about ross for one minute you would notice that there are great guys everywhere
monica|i mean look
monica|look gunther
monica|i mean he's nice he's cute
rachel|yeah i guess gunther is kinda
monica|oh what about that guy over there
monica|remember
monica|that is the guy you flirted with at the counter that time
rachel|oh i don't know
rachel|i don't know
monica|you're going to talk to him
monica|y'know what
monica|we made a deal i make your decisions and i say you're going to talk to him
rachel|all right you're the boss
rachel|i guess i gotta do what you tell me
joey|say that to him and you're golden
phoebe|hey
rachel|hey
joey|hey pheebs
monica|we got out pictures back from london
monica|here's all of us at the tower of london
phoebe|oh
phoebe|here we all are
phoebe|yeah there's ross and joey and you and me
chandler|all right y'know what we've been talking about london too much haven't we
phoebe|no
phoebe|i'm sorry
phoebe|it's just cause i couldn't be there
phoebe|cause all i ever get to do now is pregnant stuff it just bums me out
monica|what happened
rachel|well y'know a little of this a little of that
rachel|got myself a date tomorrow night
monica|see didn't i tell you
monica|you're getting over ross already
rachel|well
monica|what took you so long
chandler|i got caught up and work but i'm quitting tomorrow
monica|oh good
chandler|so thanks for having me over
chandler|rach
chandler|pheebs
joey|see ya
joey|what the hell was that
monica|probably some y'know european good bye thing he picked up in london
rachel|that's not european
phoebe|well it felt french
rachel|oh god i really had a good time
rachel|yeah
rachel|umm unless you wanna come inside
rachel|okay
rachel|oh uh wait a minute y'know what
rachel|i uh i can't decide this
rachel|umm okay just hold on a second
rachel|umm hi
ross|hi
rachel|is monica around
rachel|i i have to ask her something
ross|she's doing her laundry
rachel|what's that
ross|it came in the mail today it's uh long stemmed red roses one for each day that i've known and loved emily cut up into mulch
rachel|oh honey that's awful
ross|oh it's not so bad
ross|monica's gonna make potpourri
ross|i think i'm gonna go wander out in the rain for a while
rachel|but it's not raining
ross|i can't catch a break
rachel|y'know what ross
rachel|you're not going anywhere
rachel|you're gonna sit right here
rachel|i'm gonna make you a cup of tea and we're gonna talk this thing whole out
rachel|all right
rachel|hey dave
rachel|umm listen i'm gonna need to take a rain check my roommate is just really sick
rachel|okay
rachel|bye
rachel|honey listen i know i know things seem so bad right now
monica|rach
monica|can i talk to for just a minute
monica|i i dropped some socks
rachel|yeah
monica|what is the matter with you
monica|do you want to fall into the trap
monica|do you want to fall into the trap
rachel|ohh
rachel|you did not drop any socks
monica|i just ran into dave and he told me that you blew him off
monica|i mean you listen to me
monica|now i'm calling the shots
monica|i say you leave ross alone and go get dave
monica|what the hell were you trying to do
rachel|well ultimately i was trying y'know i i wanted tell him y'know that i'm still in love with him
monica|what
monica|you cannot tell him that
rachel|why
rachel|why not
rachel|people love to hear that
monica|i make the decisions and i say no
rachel|well y'know what no you do not make my decisions because y'know what you're fired
monica|you can't fire me
monica|i make your decisions and i say i'm not fired
monica|ha
rachel|well
monica|rachel
monica|come on
monica|let me in
joey|havin some trouble
monica|rachel locked the door
joey|i'll kick that door in if you give me a little sugar
monica|rachel
monica|let me in
monica|rachel
monica|thank you
monica|rachel can i talk to you outside for a sec
rachel|no
monica|i really need to talk to you
rachel|well then talk
monica|okay i will
monica|remember that thing that we just discussed that you wanted to do
rachel|yes
ross|what thing
monica|well rachel wants to take swing dance lessons
monica|which i think is a really stupid idea
monica|it's dangerous she's never gonna get what she wants and who knows who she might end up hurting
ross|monica's right swing dancing can be tricky
ross|i'm gonna use the phone
ross|i gotta cancel those five giant teddy bears i sent to emily
ross|my god think of the massacre
rachel|i'm gonna do it
monica|all right rachel i know i know you think i'm crazy please before you tell him you love him just just try to find one person who thinks this is a good idea
monica|because i bet you you can't
rachel|but i
monica|please
rachel|all right fine
monica|joey i'm in
joey|all right
joey|good deal
joey|uh okay pheebs
phoebe|yeah
joey|umm y'know how the other day you were talking about how you didn't get to go to london and how you were kinda feeling left out
phoebe|yeah
joey|all right well we felt really bad about that so we decided we should all take a little trip together
phoebe|ohh that's so nice
phoebe|how great
phoebe|well where
phoebe|where's the trip
monica|well we thought we would all go to a picnic in central park
phoebe|central park
joey|yeah all of us
joey|all day
phoebe|that sucks
phoebe|that's not a trip
phoebe|i just came from the park
phoebe|what are we gonna high five about at the stupid central park
phoebe|well it's right by my house all right
chandler|well i'm gonna go home and bask in the triumph of my central park idea
rachel|hey whoa whoa whoa
rachel|ho ho hold on a sec there mr
rachel|kissey
rachel|y'know i've been meaning to talk to you about this whole little new european thing you got going on and i just need to tell you that it makes me very uncomfortable and i just y'know stop it
chandler|i was just trying to bring a little culture to the group
phoebe|that's fine just don't bring it in my mouth
monica|makes me wanna puke
ross|hey everybody pheebs is here
joey|phoebe
chandler|hey pheebs
rachel|phoebe woo
phoebe|okay woo
phoebe|hi
chandler|okay pheebs we decided the picnic idea was a little y'know it didn't have any it it well it blew
chandler|so we thought that this afternoon that we would all go away for the whole weekend to atlantic city
phoebe|ooh atlantic city
phoebe|oh that's a great plan
phoebe|who's plan was that
joey|mine
ross|wait
ross|it was my plan
joey|nooo i said we needed a new plan
ross|and i came up with atlantic city
joey|which is the new plan
monica|okay well why don't we all meet upstairs in an hour
phoebe|okay
phoebe|ooh ahh i'm gonna go pack
phoebe|i'm gonna go pack my ass off
monica|come on rach let's go
rachel|yeah y'know what
rachel|i'm i'm gonna meet you upstairs in a minute
monica|no
monica|rachel you didn't find anyone so you can't tell him
rachel|well y'know what that doesn't matter
monica|okay rachel do you have any idea how painful it is to tell someone that you love them and not have them say it back
rachel|yeah i i don't care
monica|okay
monica|i i can't watch
rachel|what cha readin'
ross|the paper
rachel|yeah what's it about
ross|events from around the globe
rachel|okay
rachel|uhh ross y'know what there's something that i that i have to talk to you about and everybody's saying that i shouldn't tell you but i think they're wrong
rachel|i mean and you know how people can be wrong
ross|sure
ross|once at work i i thought carbon dating was fossilized
rachel|okay ross i'm really trying to tell you something here
ross|yeah
rachel|okay
ross|go ahead
rachel|umm okay i think i'm i'm just gonna just gonna say it
rachel|just gonna say it
rachel|uhh i'm still in love with you ross
ross|wow
ross|umm huh i'm i'm not sure what to do with that right now
ross|what
ross|what
ross|was that a joke
ross|cause it's mean
rachel|i'm so dead serious
rachel|i'm totally serious
ross|why are you laughing
rachel|because because i just heard it
rachel|i heard it and it's ridiculous
rachel|i mean you're married
rachel|you're you're married and it's just ridiculous and it's like it's like when said it i sort of like i floated up out of my body y'know
rachel|and and and then i heard myself say it and then the floating rachel was like you are such an idiot
ross|well well i am married
ross|even though i haven't spoken to my wife since the wedding
rachel|i'm sorry that's not funny
ross|actually it kinda is
ross|my wife won't return my calls
ross|i don't know where my wife is
ross|hey ross where's the mrs
ross|don't know
rachel|oh god ohh okay y'know what do you think ah do you think that you just forget that i told you this
ross|well i kinda half to
ross|i mean because the thing is
rachel|the thing is y'know that you're married to emily
ross|that is what the thing is
rachel|ross things aren't gonna be weird between us right
rachel|i mean was that just the stupidest thing me telling you that
ross|no
ross|no
ross|no i'm i'm glad you did
ross|look if nothing else it's it's always great when someone tells you they love you
rachel|that's what i said
rachel|thank you for being so nice
ross|no thank you for thank you
ross|okay let's go
chandler|atlantic city
phoebe|atlantic city baby
phoebe|let's roll some bones
phoebe|hey joey high five for rolling bones
joey|uh pheebs you're leaking
monica|oh my god
monica|you're water broke
phoebe|all right
phoebe|well don't worry i call shotgun
chandler|pheebs
chandler|we have to take you to the hospital now
ross|pheebs pheebs the babies are coming now
rachel|high five the babies are coming
phoebe|wait wait remember when my water broke
monica|i can't believe phoebe's gonna have her babies
chandler|i know it's beautiful
chandler|amazing
chandler|y'know what else i can't believe
chandler|i had to kiss phoebe and rachel every time i left a room i mean it's too bad they didn't see us having sex
monica|do you know anything about women
chandler|no
monica|that's all right
chandler|okay
phoebe|hi
phoebe|hi yeah hi
phoebe|i'm umm phoebe buffay and i have babies coming out of me
phoebe|not yet
phoebe|umm i heard they really hurt do they hurt
phoebe|oh my god
ross|it's all right
phoebe|oh no none of them are the father
phoebe|the father is my brother
rachel|i am so gonna miss watching you freak people out like that
joey|okay uh pheebs quick
joey|look
joey|this is for the babies to look at someday so is is there anything you want to say
joey|y'know before it all starts
phoebe|oh okay umm hi kids
phoebe|um it's me aunt phoebe
phoebe|i can't wait to see you
phoebe|please don't hurt me
ross|hey what took you guys so long
ross|your cab left when ours did
monica|well we we had to go back because i forget my jacket
chandler|that's right
rachel|you you're not wearing a jacket
monica|oh man
monica|i did it again
phoebe|okay so umm somebody has to call frank and alice
phoebe|and then my mom wants to know joey what are you doing
joey|i gotta get the before shot
rachel|hi pheebs
rachel|okay so just spoke to the nurse and the reason that your doctor is late is because uh she's not coming
phoebe|what
ross|apparently she fell in the shower and hit her head
phoebe|oh my god she's so stupid
ross|look pheebs pheebs it's gonna be okay
phoebe|that's easy for you to say i don't see three kids coming out your v gn
rachel|honey listen y'know what
rachel|the nurse said the doctor is wonderful
ross|yeah he's head of the department
phoebe|all right ooh
phoebe|oh dead god save me
monica|what
phoebe|i'm having my first contraction
chandler|oh no
phoebe|ooh it's not bad
chandler|okay
joey|oh
joey|and so the miracle of life begins and aaiiyyyeeee
chandler|hey
chandler|you okay
joey|ooh something hurts
phoebe|ooh it's sympathy pains
phoebe|ohh that's so sweet
joey|are they
joey|i didn't know i cared that much
ross|hello
chandler|did he just say he loves fonzie
monica|that's what it sounded like
chandler|all right
phoebe|no no no
phoebe|we haven't started yet
phoebe|where's alice
chandler|yeah that's when if you get the babies out by the end of the month they give you financing
rachel|monica
rachel|you gonna be very proud of me
rachel|i just got us dates with two unbelievably cute nurses
joey|oh my
rachel|they're male nurses
joey|not in my head
rachel|anyway they want to take us out saturday night
rachel|what do you say
monica|umm
monica|umm
monica|umm
monica|i don't think so
rachel|what
rachel|what are you talking about
rachel|you you're the one who's been telling me to get over ross and move on
rachel|i'm moving on and you're moving on with me
rachel|come on give me one good reason why you don't wanna go
monica|umm why don't you give me something that would be a good reason and and then i'll tell you if it's true
rachel|what
monica|harder than it sounds
monica|isn't it
rachel|okay you're coming with me and i also told them that if we're still here when they get off that we'll go down to the cafeteria and have some jell o with them
joey|yep
joey|there's always room for jell o
rachel|joey how do you make that dirty
joey|oh it's easy
joey|yeah i i can do it with anything
joey|watch uh grandma's chicken salad
joey|ross
joey|get a shot of this
joey|hey babies
joey|these are the headlines on the day you were born
joey|okay now girl baby turn away and boy babies check it out huh
joey|this is what naked women looked like the month you were born
joey|all right now let's dive right into the good stuff
phoebe|oh okay i'm having another one
phoebe|this one doesn't hurt either ooh yes it does
phoebe|ow
phoebe|ow
phoebe|ow
phoebe|ow
phoebe|ooh
phoebe|oh i was kinda hoping that was it
ross|hey where are monica and rachel anyway
joey|oh a couple of nurses asked them out
joey|maybe they're with them
chandler|really
chandler|male nurses
joey|yeah i was bummed too
chandler|so they're going on dates
chandler|when
joey|i think saturday
phoebe|umm sympathy pains
phoebe|i thought it was really sweet at first but now i think he's just trying to steal my thunder
phoebe|hey
chandler|this this fonzie person you keep referring too is that uh is that another doctor
chandler|all right
phoebe|it's very weird
phoebe|i don't want some guy down there telling me i'm y'know dilatedamundo
ross|to be fair he doesn’t seem to be impersonating fonzie
phoebe|what are you doing
phoebe|why are you defending him
phoebe|just get me another doctor
phoebe|one who is not crazy and who is not fonzie
ross|again it's not that he
chandler|oh hey hey hey
chandler|there you are
monica|umm listen there's something i think you should know
chandler|oh is this about you you dating the nurse
chandler|yeah joey already told me and i am so so fine
chandler|i mean you and i we're just y'know we're nothing we're goofin around
monica|umm actually i was about to tell you that i was i was going to get out of it but hey if we're just goofing around then uh maybe i will go out with him
chandler|fine
chandler|maybe i will too
joey|hey you guys
joey|look what i found in the giiiiiiift shop
joey|get up
joey|get up
joey|get up
ross|okay phoebe this doctor oberman
ross|he has no strong feelings about fonzie or any of the happy days gang
phoebe|hi
phoebe|and you're going into what grade
phoebe|uh huh me too
phoebe|ross maybe i should've specified that i'd be needing a grown up doctor
phoebe|shh
phoebe|doogie shh
phoebe|doesn't anybody understand that i'm gonna be having babies soon
phoebe|huh
phoebe|go
phoebe|go little boy go
joey|umm well what else could it be
joey|or
phoebe|they are
phoebe|why
phoebe|happy birthday
rachel|honey y'know i just gotta tell you i think this is such a terrific thing you're having these babies for frank and alice
phoebe|i know it is
rachel|yeah
phoebe|can i tell you a little secret
rachel|yeah
phoebe|i want to keep one
rachel|ohh i'm gonna be on the news
rachel|okay phoebe honey you gotta be kidding
rachel|i mean you know you cannot keep one of these babies
phoebe|why not
phoebe|maybe i can you don't know
rachel|yes
rachel|yes
rachel|yes i do
rachel|i do know
rachel|frank and alice are gonna want to keep all of their children
phoebe|maybe not
phoebe|y'know
phoebe|seriously three babies are a handful maybe they're y'know looking for a chance to unload one of them
phoebe|listen i i hate to miss an opportunity just because i didn't ask
phoebe|y'know
rachel|phoebe no
rachel|this is this is insane
phoebe|oh just ask him
rachel|me
phoebe|i can't ask him
phoebe|do you have any idea how inappropriate that would be
phoebe|all i'm saying is just talk to frank
phoebe|okay
phoebe|just y'know feel him out
rachel|no
rachel|forget it
rachel|i am not gonna ask frank to give you one of his kids
phoebe|you're right
phoebe|tell him it's for you
monica|feeling a little better sweetie
joey|well maybe a little
joey|i wish you hadn't seen me throw up
monica|me too
ross|hey
ross|i just heard
ross|what's up
joey|whoa whoa
joey|no no no no no nothing is going up
joey|okay
joey|up up is not an option what's a urethra
joey|are you crazy
phoebe|so did you ask him
rachel|no i haven't had a chance to be alone with him yet
phoebe|well i'm kinda on a clock here
rachel|y'know who i always liked
rachel|mork
phoebe|undo it
phoebe|undo it
phoebe|undo it
rachel|yeah but umm yes but fonzie was already cool so he wasn't hurt right
monica|hey
phoebe|hi
monica|how are you doing
phoebe|okay doctor says any minute now
phoebe|sorry frank i'm kinda in the middle of the last favor you asked me to do
rachel|hi
rachel|monica this is dan one of the guys that we're gonna be going out with on saturday
rachel|uh dan monica
monica|hello dan
monica|i'm really looking forward to saturday night
monica|really really
chandler|so dan nurse not a doctor huh
chandler|kinda girlie isn't it
monica|chandler
chandler|oh
chandler|sure
chandler|and listen thanks for doing that for us by the way
monica|so why wait til saturday are you free tomorrow
monica|oh great
chandler|hey how bout it
chandler|you me saturday night
chandler|all right
chandler|very good
phoebe|oo this is a big one
phoebe|eww
phoebe|arghhhh
joey|ohh get these things out of me
ross|breathe
ross|breathe
ross|breathe throw the pain
joey|i want the drugs ross i want the drugs
ross|i do too
ross|i do too
joey|argh
ross|argh
joey|argh
ross|argh
rachel|hi
rachel|oh honey don’t worry
rachel|she's gonna make it on time
rachel|yeah
rachel|so frank three babies
rachel|whew that just seems like a lot huh
rachel|yeah fair enough
monica|bye dan
chandler|bye momi moo
phoebe|what is that
phoebe|oh my god
chandler|yes
rachel|oh how does he look
rachel|how does he look
phoebe|i already had a baby
phoebe|leave me alone
chandler|oh god kindergarten flashback
chandler|okay keep saying it
joey|oh my god
ross|you did it man
joey|they're so small
monica|great
chandler|so are you really gonna go out with that nurse man
monica|well uh you and i are just goofing around i thought why not goof around with him
chandler|y'know i don't know if you've ever looked up the term goofing around in the dictionary well i have and the technical definition is two friends who care a lot about each other and have amazing sex and just wanna spend more time together
chandler|but if you have this new fangled dictionary that gets you made at me then we have to y'know get you my original dictionary
chandler|i am so bad at this
monica|i think you're better than you think you are
chandler|really
chandler|okay so
monica|know when to stop
chandler|y'know i sensed that i should stop
chandler|so we're okay
monica|yeah
monica|all right i'm gonna go tell dan that it's not gonna happen
monica|don't do the dance
chandler|right
monica|i think you're my favorite
phoebe|which one do you have
monica|i don't care
rachel|hi
rachel|hey hi
rachel|so uh frank and alice wanted me to tell you that they're still outside making phone calls
phoebe|but umm i mean did you talk to them about y'know
rachel|yeah umm no honey
phoebe|oh
phoebe|it was a long shot
phoebe|hey you guys can i just like have a second alone with the babies
phoebe|so here you are
phoebe|it seems like yesterday i was talking to you in that little petri dish
phoebe|everyone said labor was the hardest thing i'd ever have to do but they were wrong this is
phoebe|oh i had the most fun with you guys
phoebe|i wish i could take you home and see you everyday
phoebe|okay i'll settle for being your favorite aunt
phoebe|i know alice's sister has a pool but you lived in me
phoebe|okay so we're cool
phoebe|yeah we're gonna be great
phoebe|little high fives
phoebe|ahh
phoebe|ahh
phoebe|ahh
phoebe|well if you're gonna cry
monica|phoebe we are so proud of you
monica|you're amazing
phoebe|i know
rachel|so does it really hurt as bad as they say
phoebe|yeah
phoebe|you won't be able to take it
chandler|so uh now that little chandler turned out to be a girl what are they gonna name her
phoebe|they're gonna call her chandler
chandler|that's kind of a masculine name don't you think
phoebe|works on you
monica|come in
monica|i've been waiting for you
rachel|hi
rachel|i just wanna ahhh
rachel|oh my god
rachel|oh my god
monica|okay i'm sorry
monica|i'm sorry
monica|i i i was um i was taking a nap
rachel|since when do take naps in that position
rachel|oh god monica tell me you were waiting for a guy
rachel|please tell me you were waiting for a guy
monica|yes
monica|yes i was
monica|a guy
monica|from work
monica|i'm seeing a guy from work
monica|ha
rachel|that cute waiter guy from your restaurant the one that looks like a non threatening ray liotta
monica|uh huh that one
rachel|y'know what just give me a second and i'll be out of your hair
rachel|i'm just gonna grab a jacket
rachel|when i get back i want every little detail
rachel|maybe that's him
monica|okay umm okay umm it's just joey and ross
rachel|why aren't you guys at the movie
joey|well we were
joey|but ross was talking so loud on his phone they threw us out
ross|i had to talk loud because the movie was loud
joey|he's talking to london
monica|but why
monica|did he get in touch with emily
joey|well no not yet
joey|he's calling everyone on her side of the family hoping that someone will help him get in touch with her
ross|i i i don't care if i said some other girl's name you prissy old twit
joey|ross
joey|way to suck up to the family
chandler|ha ha ha enh enh
chandler|i'm so glad you guys are all here
chandler|my office finally got wrinkle free fax paper
joey|hey
chandler|oh no no no no no no vomit tux
chandler|no no vomit tux
joey|don't worry i had it dry cleaned
monica|vomit tux
monica|who vomited on y'know what what you up to joe
joey|well i'm doing this telethon thing on tv and my agent got me a job as co host
monica|oh that's great
joey|a little uh good deed for pbs and a little tv exposure now that's the kind of math joey likes to do
phoebe|ugh pbs
monica|what's wrong with pbs
phoebe|ugh what's right with them
joey|why don’t you like pbs pheebs
phoebe|okay cause right after my mom killed herself i was just in this really bad place y'know personally
phoebe|so i just thought that it'd make me feel better if i wrote to sesame street cause they were so nice when i was a little kid
phoebe|no one ever wrote back
chandler|well y'know a lot of those muppets don't have thumbs
phoebe|all i got was a lousy key chain
phoebe|and by that time i was living in a box
phoebe|i didn't have keys
joey|i'm sorry pheebs i just y'know i just wanted to do a good deed
joey|like like you did with the babies
phoebe|this isn't a good deed you just wanted to get on tv
phoebe|this is totally selfish
joey|whoa
joey|whoa
joey|whoa
joey|what about you having those babies for your brother
joey|talk about selfish
phoebe|what what are you talking about
joey|well yeah it was a really nice thing and all but it made you feel really good right
phoebe|yeah
phoebe|so
joey|it made you feel good so that makes it selfish
joey|look there's no unselfish good deeds sorry
phoebe|yes there are
phoebe|there are totally good deeds that are selfless
joey|well may i ask for one example
phoebe|yeah it's y'know there's no you may not
joey|that's because all people are selfish
phoebe|are you calling me selfish
joey|are you calling you people
joey|yeah well sorry to burst that bubble pheebs but selfless good deeds don't exist
joey|okay
joey|and you the deal on santa clause right
phoebe|i'm gonna find a selfless good dead
phoebe|i'm gonna beat you you evil genius
ross|hello
ross|emily
ross|emily
ross|oh my god
ross|oh my god it's emily
ross|it's emily everyone
ross|shush shush shhst
ross|hi
ross|no wait
ross|look wait
ross|okay you can hang up but i'm gonna keep calling
ross|i'm gonna i'm gonna call everyone in england if that's what it takes to get you to talk to me
ross|look you're my wife
ross|we're we're married
ross|y'know
ross|i i love you
ross|i i really miss you
ross|she's talking
phoebe|hey joey when you said the deal with santa clause you meant
joey|that he doesn't exist
phoebe|right
rachel|so chandler have you heard about monica's secret boyfriend
chandler|uhh yeah
chandler|she uh she uh she uh might've mentioned him
rachel|so mon when are we gonna meet this new secret waiter man
monica|ohh he's really shy
monica|i i don’t think he's up to meeting everyone yet
chandler|yeah i don't think he's up to meeting everyone yet
rachel|i don’t care
rachel|i wanna meet this guy who's the best sex she ever had
chandler|really
chandler|that's what you heard
chandler|you said that
monica|i might've said that
monica|why is that funny
chandler|because i'm very happy for him
chandler|and you you lucky dog
ross|hi
monica|hey
ross|well emily's willing to work on the relationship
chandler|yes
monica|that's great
ross|in london
monica|what
ross|she wants me to move to london
monica|but you live here
monica|you know that
rachel|what what what are you gonna do
ross|i bet if i talk to carol and susan i can convince them to move to london with ben
monica|yeah i'm sure your ex wife will be more than happy to move to another country so you can patch things up with your new wife
ross|it could happen
joey|how ya doin'
joey|welcome
joey|good to see ya
joey|that's great
joey|but uh i'm not really expecting a lot of calls
joey|but i'm the host
joey|you don't seem to understand
joey|see i was doctor drake remoray
phoebe|i cannot believe i can't find a selfless good deed
phoebe|y'know that old guy that lives next to me
phoebe|well i snuck over there and and raked up all the leaves on his front stoop
phoebe|but he caught me and force fed me cider and cookies
phoebe|then i felt wonderful
phoebe|that old jackass
rachel|maybe joey's right
rachel|maybe all good deeds are selfish
phoebe|i will find a selfless good deed
phoebe|cause i just gave birth to three children and i will not let them be raised in a world where joey is right
chandler|hey monica
chandler|can i ask you a cooking question
monica|sure
chandler|if you're cooking on the stove does that mean that your new secret boyfriend is better in bed than richard
rachel|chandler
rachel|is he
monica|well y'know i i i think i'm gonna respect the privacy of my new secret boyfriend
chandler|why
chandler|i mean if this guy was me and it was me who had learned that it was me who was the best you'd ever had i'd be going like this
ross|all right emily as much as i love you i'm sorry i can't move to london without ben
ross|yeah would you please consider moving here
ross|i mean you were gonna move here anyway why can't you just do that
ross|oh oh okay but but i know that even though i've been a a complete idiot up til now i mean i mean you you you have to come here
ross|you have to come here so we can work this out
ross|all right did you just say all right
ross|oh emily that is that is so great
ross|it's gonna be so great
ross|we're gonna be like like like two idiots in love
ross|yes tell me
ross|i know
ross|i am i am so sorry
ross|again very sorry
ross|emily there is nothing between rachel and me
ross|okay
ross|i love you
ross|oh that is so great
ross|that's
ross|so i asked emily if she would come to new york and she said yes
chandler|yes
phoebe|ooh ohh
monica|great
ross|no no no
ross|only if i promise never to see rachel again
phoebe|why
monica|what
monica|you can't what did you tell her
ross|i told her i'd have to think about it
ross|i mean how the hell am i supposed to make this kind of a decision
ross|i'm actually asking you
chandler|well you can't just not see rachel anymore she's one of your best friends
monica|yeah
monica|but he can't not exactly see emily i mean that's his wife
phoebe|yeah
chandler|that's true
phoebe|yeah but you've known rachel since high school and you cannot just cut her out of your life
chandler|that's true
monica|no you cannot
ross|thanks for the help problem solved
monica|hello
joey|hey mon
monica|oh hey joey
monica|we've been watching all day when are you gonna be on tv
joey|see there was kind of a mix up in my agent's office but i'm still on tv and that's good exposure
monica|you're not on tv
joey|oh uh okay how how about now
